Episode,Episode Score,100-Ep Rolling Avg
191,0.24999999999999956,-3.3865000000000003
192,-4.5,-3.387
193,-3.5,-3.3705000000000003
194,2.349999999999999,-3.2835
195,-5.1000000000000005,-3.3035
196,-6.499999999999998,-3.3345000000000002
197,3.65,-3.2675
198,-3.25,-3.2575
199,-3.5,-3.2305
200,-4.15,-3.235
201,-3.6500000000000004,-3.1985
202,-3.6,-3.2015000000000002
203,-3.35,-3.1825
204,-3.05,-3.181
205,-3.0,-3.2385
206,3.55,-3.1655
207,-3.2,-3.222
208,-3.3,-3.2144999999999997
209,-3.85,-3.2155
210,-3.55,-3.2065
211,-4.700000000000001,-3.2165000000000004
212,-3.6,-3.2209999999999996
213,-3.7,-3.2230000000000003
214,-3.2,-3.2135000000000002
215,-3.45,-3.215
216,-3.0,-3.2119999999999997
217,-3.8,-3.22
218,-3.65,-3.2155
219,3.15,-3.1319999999999997
220,-3.8,-3.1390000000000002
221,1.6499999999999995,-3.092
222,-3.45,-3.0614999999999997
223,-4.15,-3.0705
224,-3.0,-3.0665000000000004
225,-6.599999999999998,-3.0995
226,3.05,-3.035
227,3.65,-2.9575
228,3.1499999999999995,-2.89
229,3.05,-2.8064999999999998
230,-4.450000000000001,-2.8845
231,-4.0,-2.923
232,3.55,-2.9229999999999996
233,-3.1,-2.88
234,-4.2,-2.842
235,-3.75,-2.8415
236,-3.35,-2.838
237,-3.0,-2.8265000000000002
238,2.75,-2.766
239,-3.4,-2.77
240,-4.1000000000000005,-2.7775
241,-3.5,-2.781
242,-3.1,-2.7775
243,-3.45,-2.7675
244,-3.35,-2.753
245,-3.2,-2.7329999999999997
246,-7.999999999999993,-2.8475
247,-5.1000000000000005,-2.9219999999999997
248,-5.5,-2.9275
249,2.7499999999999996,-2.864
250,-4.050000000000001,-2.8640000000000003
